Nama,Komentar
Rorensilia Ruben,Terharu🥺
Siringo Tina,Thankyou Lord
Muhammad Bashor,"Dari awal udah harap harap cemas berharap mereka menang karena dari awal mereka main udah stabil dan segi mental mereka ngga down, terimakasih untuk kado terindah di bulan kemerdekaan Indonesia 🙏🇮🇩"
nutrijel,Terharu dan nangis banget
Umar Husen888,Trharu n respek jg dg tim cina yg ikut menenangkan n pandu gres bareng2. 👍👍
Rian Noviar,"NAHHH coba yg trending seperti ini, jangan covid Mulu bosen"
Ambrosius Jimm,😍😍😍😍
Budi Prasetyo,Mantaaff...  kado ultah indonesia di hari kemerdekaan yg ke 76 th... Sesuai dgn jumlah poin di game ini...
Syukur Alwan Sh,"andai terjadi final all indonesia final double men's badminton olimpyc tokyo 2020 duel the minion n the daddy, peringkat indonesia pasti lebih baik emang segitu rezeki tim bulutangkis kita"
2B-10-Tifany Berliana,Terharuuu sangat membanggakan
Transportasi Channel,"masya Allah.. siapa ya komentator Indosiarnya? saya beneran ga nonton kemarin, makasih kak energinya bikin saya merinding asli beneran. Greysia Polii dan Apriyani Rahayu selamat ya kak kado terindah buat Indonesia di Bulan Agustus ini."
Rismauli Anggiesha,"Wow,salut bangetttt"
Tri Djatmiko,"Selamat, terimakasih telah mempersembahkan emas buat Indonesia."
Nurca alstorys28,"Jadi ikutan mewekkk😭😭😭😭😭😭😭
Harus nya semua tim ikut peluk mereka,biar tambah haru,,
Ya allahhh senangnya ,pelatih juga ikut nangis😭"
Teresia Nana,Bangga bangettt 🙌🏻🙌🏻🙌🏻
Lintang Hanun,Respect buat reporternl tvnya
Uchek Andrian,Semangat Indonesiaku  ☺
Compilation Channel,"Gilaa keren bener defend mereka, buat kalian yang nonton dari awal smpe akhir pasti ngakuin klo defend greyap kuat 🔥"
A-25 Chanel,Sukses indonesia kebanggan kita semua josssss
all in story,Terharu makasih kadonya greys dan apriyani
Pianqiuqiu vlog,"Makasih Greslia polli & Rahayu Apriyani rahayu


Kemenangan ini buat ulang tahun NKRI dan mudah"" Kami bangga jadi orang indonesia smoga pandemi ini hilang dari muka bumi Indonesia"
belalang sawah,bangga buat x lian berdua  udah  menyelamatkan muka indonesa
Yosafat Dias Renanda,Sumpah gw nangis sesenggukan pas Indonesia Raya berkumandang 😭😭
Bintang Faiz hajiry,Terharu bgt asli
Hadi Young'est,Bangga indonesia maju 💙💙💙💙😘
Biman Zoning,Bangga 🇲🇨
Reza Vebriansyah,Luar biasa  komentatornya indonesia....
putra rahmansyah,"Akhir nya dapat medali emas! 
Kado menjelang ultah kemerdekaan 17 Agustus 2021."
Anisa Ummiatus silmi,Ikut meneteskan air mata
Ocep Popa,"Bagi Tuhan, tak ada yang mustahil.. bagi Tuhan tak ada yang tak mungkin.."
Gesya Putri,Luar biasa terharu banget
Warung Maksimal,jauh dari sulawesi juara utk indonesia
nana masih sma,Early gift birthday to Indonesia from GreyAp!!! Thank you guys i got  goosebumps when I watched it😭
Aris Rizky,Sumpahh gw merinding anjg
Cute girl,Terharu banget.
Christoper Mario Hanjoyo,Thankyou Greysia Apriyani!!!
IQ 1000 TZY,Indonesia ❤️
Anggie Aja,"THE BEST lah pokoknya, begitu point 19 aku dah nangis2, yakin kalo menang, alhamdulillah😭"
NEGARA TERCINTA.,Jujur saya menangis waktu lagu Indonesia raya berkumandang dan 3 negara berpelukan...
Bang Komenk Channel,Terharu dan bangga
kaNda .k,👏👏👏👏
Jaelani Abu Afif,"Mereka inilah pahlawan sejati saat ini,bukan para koruptor"
Ihas Papua Official,Sumpa ikut menangis sayaaa...😭😭😭 Terima kasih kalian semua🙏😭
NGAJIH SANTRI 87,Klw di dadasari berangkat dengan hati yang senang hasilnya kebanyakan positif
Traveling aja,sabar yaaa ...Travelingnya sebentar lagi...😊
wesing musik,Alhamdulillah 👍
Maiser Lumenta,1:36 Dari Sulawesi untuk Indonesia 🇮🇩🏸
dey nissa,"best moment! terimakasih banyak, very very proud of u!!! 🥇❤️"
Emalia suci,Mantap
HUSNI FAMILY,bikin merinding
Chan Kins,Dua-duanya menciptakan sejarah
Lestari,Menangis karna katakatanya reporter😭
Dahlia Durahim,"Alhamdulillah....🤲🤲 semangat terus buat atlit""Indonesia dan teruslah berprestasi"
Jaelani Jaelani,Bangga dan terharu banget
grandeh grandeh,"Waduhh masih ada yg dislikes Guys, ampun dehh. KEBANGGAAN INDONESIA."
Manusia ½ bandeng,Dedy corbuzier gua yakin lagi gencar gencarnya buat undang mereka wkwk
Anto Saragih Saragih,"Is the best to pemain bulutangkis putri indonesia,jaya selalu buat seluruh pemain bulutangkis indonesia baik putra dan putri nya 
I love tu indonesia"
Nuri Wahyudi,"Alhamdulillah....satu daerah+satu sekolah berhasil meraih emas di olimpiade...
Liliana natsir&gresia poli cuma beda tahun aj👍"
Goresan Luka,Terharu bgt
Jacka Fhace,Indonesia  Jaya
"Herbal Kekebalan Tubuh, AIDS dan Penyakit Kronis",Ikut bangga...
Fikrii Muzakki,hadiah untuk ulang tahun Indonesia
Compilation Channel,"Kerennn bangett greyap WD ranking 1,2 di babat abiss. Memang pantas dapet emas 🇮🇩"
Nia Ciieut,Mantap
Abdu sdg jl l Manan,Selmat Untuk Gres dan Apriyani
PRANAJA MATH,Keren
dyta MH,TERIMA KASIH PAHLAWAN BANGSA
ariez.kharisma,"Terima kasih greysia apri..
Terima kasih banyak telah mengharumkan nama indonesia..
Semoga bisa memantik prestasi cabor cabor yang lain.."
28 SITI AFIFA AZ ZAHRA,bangga sama mereka
Raja Kurcaci,Wah trending..bonus 700jt
Rahadian Akbar,"LAGU KISAH NYATA KARANTINA.... :


https://www.youtube.com/watch?v=M3cC6QyyUGU"
Emalia suci,Pembawa nama baik Indonesia
Achmad Amirudin,"merinding woy... lagu indonesia raya
memang ada magisnya"
kevin kemal,Love u indonesia❤😙
Aswar Anas,Emas untuk kado HUT indonesia terimakasih gresia/apriani
Aris Mond,"Emang sudah seharusnya trending satu sh, yuk pertahanin"
Anda yhand hasd Ibrahim,Terima kasih ya kak
Muhammad Abdul Alim Bahauddin,"Selamat!!! Indonesia Bangga Punya Kalian...
Terus lanjutkan perjuangan dengan prestasi untuk mengharumkan negeri..."
Analisis Bola,"https://youtu.be/rUKGi6FwraU kalo timnas seperti ini, baru kita dpt emas dr sepak bola."
Kristin 1010,Trending 1 mantap
Komar Sumarno,Alhamdulilahh😇😇😇
Man Music,Salfok sma teriakan Aaaaaaaaaaa....haha
Mas Basir jeh,"Terharu bangets ya allah, selamat kakak..."
shofia rohmatika,Alhamdulillah...
Lia,😥😭
ali topan,Kenapa masih ada yg dislike... Heran..
Erika Sembiring,Selamat buat kalian berdua kami Banga 😍
FelixxGanz`?,Terimakasih Gresiy Poli dan Apriyani Rahayu yang telah membanggakan negara kami 🇮🇩💖
Pebryen Mauli Sinaga,"Hasil Skor nya sama dengan HUT RI 🇮🇩
21+19+21+15 = 76th"
Danil Rodi,Bahagia terharu
Mastama 10,❤️🇮🇩
Lil Kitty,Trendingkan terus biar BTS kegusur
Rizky Setiawan,"Nangis bahagia gue, terima kasih buat semua pahlawan yg berjuang di Olimpiade Jepang. Terima kasih semuanya. Indonesia Jaya"
Roziqin,The best
Fadhel Fikri,luar biasa
Ilyas Wijaya,Baru dapet brapa emas indo di olimpiade??
Vanessa F.A Chanel,Trending 👍👍👍
Desi Arisandi,Alhamdulillah.. congrats greys dan apri atas perolehan medali emasnya. Juga kado spesial bwt ulang tahun indonesia ke 76 tahun dan ulang tahun pernikahan aku yg ke 6 thn. 2 Agustus 2015-2021
Stupid audience,Di sisi lain jngn lupa kasus korupsi
Pasya Family,hujan airmata dari pelosok negeri
mohammed fauzan,Kado spesial dibulan HUT RI
dfa farista jual beli mobil,Seruuu
Gradeeer Amastion,Alhamdulilah indonesia masih  mempertahankan tradisi emas🙏🇮🇩🇮🇩🇮🇩
reji putra,😘😘😘😘
Analisis Bola,"https://youtu.be/rUKGi6FwraU yakinlah kalo timnas sepakbola seperti ini, kita juga bisa dapat medali emas."
Andrew Christopher,👍👍 hebat hebat
Wida Ningsih,dari dulu andelan Indonesia itu cuma bulu tangkis..
I am,"Alhamdulillah dapat emas.

Greysia Polii (INA)/Apriyani Rahayu (INA)   21  21 

Chen Qingchen (CHN)/Jia Yifan (CHN)       19  15"
angka jitu sdy&hk,Ratakeun ratakeun ..mantap .Saha eta Indonesia .acungkan tangan
Afli Yogi,"Pas gresia merayakn , lah kok hilang teman gue"
Fiki Okberta,Bangga
Junaed,player free fire menangis melihat ini ..
Just a Vice Manager,"Hal yang kaya gini nih yang bisa mempersatukan bangsa dari orang-orang yang berusaha memecah, keep it up girls!"
desi pusparini,Yang ngedislike ada masalah apa si :(
Sindy Ayu Kirana,Good job
dee silver,Good job
Rico Pratama,Allhamdulilah....
Ridho Lesmana,"terimakasih atas dedikasi kalian gresyap, Indonesia we did it 🥇"
Mutia Nurul,plis komentatornya ngakak bgt
Ahmad Roy Saputra,#Gantikomentator
Kumpulan video Alkhalifi,Merdeka
Gogik Kurniawan,Siapa kita? INDONESIA!!!
Sepia Arlin agustian,"Sampe netes air mata... Di sela2 kesulitan Indonesia mnghadapi corona,, masih Ada hal yg bisa kita sykuri alhamdulillah"
Shinichi Kudo !,"Indonesia Bangga juga., Masih PPKM .. Hiyaaaaa"
World Brain,Beberapa hari lagi bakal muncul di close the door
Alvino Desta Aditama,Komentatornya kalo bisa yg lain ya min. Terlalu berisik dan lebay
Anabella Celin,Proudddd
Krisantus Hutahaean,Terima Kasih Atas Usaha dan Kerja Keras Kalian... 🙏🙏😭😭Indonesia Juara Bhineka Tunggal Ika... ❤️❤️😘😘
Murni Sari,Nagis cuy
Heru Jonggol,2500000 ngehne aku
Nopi Nurlita,Terharu
BATMAN,Ributnya komentatornya
putri Nadial Alharani,"Merinding Yaa allah, 😭😭😭 trima kasih untuk kado mendali emas pertama untuk Indonesia"
Ruhii kitty,Berulang2 nonton masih ajaa Merinding terharuu
Lysa fauziah Akbar,"Ampe nangis aku sangking bahagia nya akhirnya indonesia dpt 1st gold medal, sunggu perjuangan kalian hebatttt, srikandi Indonesia.., Terima kasihh utk kalian berdua..memgharumkan nama bangsa..💪🏼👍👍❤"
ellen lubis,"Puji syukur, bangga, terharu, nangis, bahagia ,  keren..terima kasih Greysia dan Apriyani untuk Indonesia hadiah yang luar biasa untuk HUT RI."
Siti Nur Afina,"Alhamdulillah ya Allah bangga banget sama Apriyanu Rahayu & greysia polli..jadi kado kemerdekaan Indonesia...semangat terus pertahankan selalu mendapatkan medali emas...terharu banget pas liat momen ini pertama tegang greget ikutan teriak"" & Alhamdulillah menang juga semapai ikutan nangis bahagia... 😭😭🤗😇😘😘😘🥳🥳🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩"
cessa tabita,"Dari awal nonton mereka tanding di Olimpiade Tokyo ini, sdh feeling 90% mereka pasti bisa juara karena liat bagaimana mereka ngotot waktu bertanding, mungkin bagi Polii dia sdh berpikir dengan usianya 4 tahun lagi ngk mungkin dia bisa ikutan tanding lg di Olimpiade berikutnya jadi harus ngotot sekarang"
CCAZ Project,Greysiya Polii dan Apriyani Rahayu telah memberikan kado Terbaik Buat HUT Indonesia 🇮🇩
39. Noor Amelia Putri,"Terharu bahagia sampai nangis nonton
Selamat untuk kalian dan semua atlet mewakili indonesia"
shin shin,One of the reason Im being proud to be Indonesian is when seeing these batminton heroes ❤ jaya indonesiakuuu!!!
Enalita vlog,Ditengah pandemi mereka mengharumkan nama bangsa indonesia selamat greysia polli dan apriani rahayu maju terus indonesiaku.
Kane Lucifer,"Terimakasih Greysia/Apriyani telah menjaga ""tradisi emas olimpiade"" untuk Indonesia"
Yulia Nirmala,"Luar biasa, bangga bangettt 🇮🇩✨
proud proud proud 🇮🇩❤️"
G2Y CHANNEL,"tumben ini youtube nerendingin yang ber prestasi biasanya titik titik,. selamat buat gregreysia polii dan apriyani selamat atas pencapaian nya sudah membuat bangga indonesia"
Nur Rohimah,"Luar biasa
Indonesia bangga punya kalian!!!"
Iis Iis,Bangga pd kalian yg sdh berjuang demi harum nya nama bangsa dan negara mengukir sejarah d kancah dunia Terima ksh para atlet atlet Indonesia
Marmeammeam,"Terima Kasih Tuhan, Greysia, Apriyani, & semua pihak dalam kemenangan ini 😇❤"
Ani Ruwandari,Sallute to Greysia & Apriyani. So proud of you... Semua bangsa Indonesia bangga pada kalian
Hfz Hfzz,Mudah2an mereka2 yg mengharumkan Indonesia ini bisa di kasih apresiasi setelah datang ke Indonesia.
Mama Cingbing,Terima kasih para pejuang medali...
Yusuf Ismail,Selamat atas sukses nya pasangan INDONESIA 🙏
Dewi Dahlimar,Ikut nangiss bangga...prestasi yang luar biasa🇮🇩🇮🇩🇮🇩🇮🇩
Berman Linardo,Siapa kita?????  kita INDONESIA
bambang wisanggeni,"Hostnya lebay,,gk jelas bgt macam host bangladesh 😀😀"
Nur Kholis,Semoga komentatornya serak terus suarane berisik poll
Alenia TV,"Gini aja bangga, gue gak bangga sama sekali, kecuali kalau Kevin Markus Menang kemarin"
Eldo Budiman,"""BAGI TUHAN TIDAK ADA YANG TAK MUNGKIN,BAGI TUHAN TIDAK ADA YG MUSTAHIL"" 

SELAMAT 🇮🇩 
😇"
Buddy Alataz,Ini baru trendiing.... Koreaa miinggeeerrrr...!!!
KAWAN YOUTOBE,"yg setuju Like
cannel KAWAN YOUTOBE
  Ada ulek 2 Triliun ‼️"
lukman hakim,Omong Opo sih ini komentatornya ....
Indra Setiawan,🇮🇩🇮🇩🇮🇩
Muhammad Abdul Alim Bahauddin,"Selamat!!! Indonesia Bangga Punya Kalian...
Terus lanjutkan perjuangan dengan prestasi untuk mengharumkan negeri..."
Manusia ½ bandeng,Hoki doang
MΛDRILΛNG,"Gitu aja nangis, cengeng"
Rifky Radivan,🇮🇩🇮🇩🇮🇩
Borneo Betta Brothers,Yg Dislike Warga China 😁
black mijuri,"Alhamdulillah Indonesia bisa dapat emas 😭
Sangat bersyukur mereka tampil tanpa beban dan bisa main Maksimal 
Karena mereka satu satunya harapan untuk mendali emas 🥇
Congratulions Greysia/Apriyani 👏🏼👏🏼"
ali topan,Kenapa masih ada yg dislike... Heran..
CrisnaChan Official,BANGGA....
Eno Budiono,Trending 1
Finger Art,Masih byk juga ya yg dislike vidio ini ngk hbis pikir gue hem hem hem
Bu nardi Bu nardi,Alhamdulillah.makasih saudaraku yg telah mendapat medali emas selamat srikandi2 dr Indonesia sukses selalu aamiin
Virza Andreant,"Dengerin komentator bung valent,bini w juga ikutan nangis pas gres-aprie menang😁😁😂"
Taritami Sumosutargio,"Kita selalu mandukung Greysia Polii dan Apriyani Rahayu.🇲🇨🇲🇨
Pemain ganda putri💝💝"
Aditia kurniawan,Alhamdulillah Yang Berprestasi Akhirnya.# Trending1
HRn SportTV,"CONGRATS GREYSIA POLII/APRIYANI RAHAYU
YOU ARE THE BEST"
Sulfiani Ariefia1977,"Selamat grey Apri...,tadi nonton deg2an sendiri dengan di iringi do'a,akhirnya Indonesia mendpatka medali..."
Methyn rendang,Sejarah Indonesia 🙏🙏Bangga dan terharu
Rian Zay,Indonesiaku berkibar di tokyo 🇲🇨 alhamdulillah
Remix GR,0:55 nangisnya Greysia Lucu 🤣🤣
Nur Rohimah,"Greysia polii Apriyani Rahayu, kami banggaaaaa!!!"
MAS HER CHANNEL,I'm so proud for both n Indonesia.....i'm crying now 😭🇮🇩
Irpan Firmansyah,"Total skornya
( 21 + 19 + 21 + 15 = 76 )
Medali Emas, artinya kado hadiah HUT NKRI KE-76 INA 🇮🇩 ما شاء الله"
Ibnu Muhammad,"Mantappp kalian, sukses selalu. Salam dari Lampung"
Beni Bengkayang,Selamat buat pahlawan bulutangkis Indonesia
Remix GR,"0:38 "" 😭 terima kasih kalian telah membuat sejarah... Tapi tunggu dulu... (sambil lihat replay....dan shutlecocknya out) ... Hoaaaaaaaaa.. 😭😭😭😭😭😭 makin gede nangissnya hahaha"
Mochtar Rajak96,Thanks to all of you brave fighters working hard for gold and the only gold representatives of the 2020 Tokyo games thank you for your extraordinary fighters.🥇🥇
Sri Yulianingsih,"Masya Allah,,,,terharu"
Yoshi Olivia,Terharu!😭🖤
ali rudin,"Indonesia bangga dengan kalian, dua Sulawesi the best"
yudhix wahyu,"Perjunganmu bgt berat.n hasil nya sudah mmbanggakan INDONESIA.
Semua bg para atlit sdh berjuang dgn spartan🙏🙏🙏"
Miftachudin Zaeni,"Pelit bngt durasinya, padahal ini momen haru, momen emas buat Indonesia.
Giliran yg ""ku menangis membayangkan"" durasinya berjam2"
Enda Wahyunda,Itu kok masih ada yg dislike bnyak kira2 knapa yaa
Dear Official,"Tolong pihak Indosiar. Ganti komentatornya yang ahli dalam bidangnya. Komentar bola kok jadi komentator Badminton ya gak nyambung. Selama pertandingan gak ada ilmu yang didapat. Cuma teriak-teriak dan asal ngomong. Contoh simpelnya barusan Valentino :"" Rata kau, Rata Kau... Apa? Gak jelas. Tujuannya memang meramaikan agar semarak. Tapi jangan berlebihan. Seharusnya selipkan juga teknik apa yang digunakan, smash apa , dll agar kita juga dapat ilmu. Lihat komentator di TVRI. lebih enak dalam membawakan."
Opie Ica,Trending 1
Ʀ4ᴍ,Paansi 🗿
Novita Ramadani,"Alhamdulillah, terharu bangga:'("
Blitz Channel,Menang kok nangis
T Hhh,Komentatornya annoying
Dedi Saputra,Berisik komentatornya jd gk asik males nntonnya.
Bobo Putra,Iya
Bapak Adji,Hebat kalian layak dapat medali emas olimpiade Tokyo Jepang
Faril Ahmad,Indonesia
Nanda Mayor,Apa perempuan Kakak laki-laki selamat ya kamu kelas 9e mantap harus maju begitu kalau bukan teman lagi siapa yang punya Indonesia Kita terlahir di Bumi Pertiwi Mantap sudah muter Yesus memberkati kakak karena kakak kan sudah menang Indonesia Indonesia Raya merah putih
rio s,Prokes
ex xo,Biasa AjA ... ?
Adhitya Kurniawan,Diulang2 tetep merinding ttp mewek masya alloh tabarakallah
Bayu Haryoko,Trending gk tuh
Abu bakar,Kok gak pada pake masker 😁
Kisongsong kencono,Indonesia bisa hancurnya indonesia karena banyak pejabat sama hukum banyak yg korupsi kalau gak korupsi indonesia luar biasa
부채BLACKPINK,Yes
aguera winarno,dari sebelum tanding juga saya sudah yakin grese sama ani pasti juaranya dan yeah they got the gold medal... Indonesia merdeka
Dinta sudarta,"Komentatornya memang jooss,bung jebreet bisa membawa kita untuk meneteskan air mata 😭😭"
Pasariya riya,Aku bangga dan terharu perjuanganmu sampai aku meneteskan air mata terima kasih gres dan Apri telah mengharumkan nama bangsa Indonesia dia pahlawan indonesia
NHJR Tutorial,"Keren , medali emas untuk Indonesia 🏅"
Adebe Ibe Channel,Terharu sama perjuangannya  Congrats kalian layak menang🎊🎉
Hira Amayu,"Ya Allah merinding 😭
Awalnya gak percaya tapi berhasil sabet emas 😭❤️🇮🇩"
Andri Budi Saputra,Sangat mengharukan.... semoga sukses selalu 💪
Violeta wijaya,Sesndainya perbedaan setiap hari seindah ini.. MashaAllah
MAW TV,Kebanggaan an Indonesia💯
Adel Claudya,"Waktu aku nnton aku juga ikutan nangis 🤧😭😭😭😭
Sedihh dan haru nya dapat bgetttt 
Congrats kak P dan kak A💕💕💕❤️"
It's Scarleterika,"Hadiah buat Indonesia, 76 tahun Indonesia dapet hadiah emas Women's Double😻👏🏻"
VIANKA RIMEX,terharu🤧
PELITA NIAS OFFICIAL™,"tidak sia sia jdi tranding satu di Indonesia dapat medali emas,,  ini adalah sejarah baru di Indonesia💪💪💪 absen Dulu dari Pulau Nias Sumut"
Viana Agt,"Ikut bngga,ikut nangiss terharu bangett❤️❤️"
Siti Latuconsina,Gue ikut mewek asli pas liat kak greysia teriak nangis bahagia😭😭
Pelajar Beasiswa,Aku cowok tapi aku nangis .. merinding gak berhenti....
Temartenan_Official,"Terharu dan bangga banget...
Thx Greysia Polii ❤️🙏🏻dan Apriyani Rahayu❤️🙏🏻 .Sudah membuat Indonesia kita Jadi harum di mata dunia internasional.
Indonesia Merdeka 🇮🇩✊"
Aula Andika FA,Selamat dan terima kasih untuk perjuangannya
kerta wiguna,Mudah2 cabang olhrga yg lain juga bisa berjaya.ayo smngaat 💪💪💪💪
TaufikNH28,Indonesia berbangga padamu 😍
sarmah sarmah,"Resepect sama pemain cinanya, datangin polii dan memapah gitu. selamat greyap anda berdua luar biasa."
oces,"Kado buat HUT RI ke 76
Skornya 21-19 21-15 
Klo di jumlahin 76 
Pas bngt kemerdekaan yang ke 76"
Johan Brenda,Tangisan yang menggetarkan hati tak bisa berkata kata...
